story,question,answer,i,dataGenSeq,sType,qTypeRaw,qTypeTomOrNot,qOrder,storyHasToM,answerMem,answerReal,qToMandOmniReader,answerMemOrReal
Oliver entered the porch. Owen entered the porch. Abigail entered the porch. The broccoli is in the bucket. Abigail exited the porch. Owen exited the porch. Owen hates the peach. Oliver moved the broccoli to the pantry.,Where was the broccoli at the beginning?,bucket,1,"enter_agent_0,agent_2_enters,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_2_exits",false_belief,memory,False,memory,True,bucket,pantry,False,memory
Oliver entered the porch. Owen entered the porch. Abigail entered the porch. The broccoli is in the bucket. Abigail exited the porch. Owen exited the porch. Owen hates the peach. Oliver moved the broccoli to the pantry.,Where will Oliver look for the broccoli?,pantry,1,"enter_agent_0,agent_2_enters,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_2_exits",false_belief,first_order_0_no_tom,False,first_order,True,bucket,pantry,True,reality
Oliver entered the porch. Owen entered the porch. Abigail entered the porch. The broccoli is in the bucket. Abigail exited the porch. Owen exited the porch. Owen hates the peach. Oliver moved the broccoli to the pantry.,Where does Oliver think that Abigail searches for the broccoli?,pantry,1,"enter_agent_0,agent_2_enters,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_2_exits",false_belief,second_order_0_no_tom,False,second_order,True,bucket,pantry,True,reality
Oliver entered the porch. Owen entered the porch. Abigail entered the porch. The broccoli is in the bucket. Abigail exited the porch. Owen exited the porch. Owen hates the peach. Oliver moved the broccoli to the pantry.,Where is the broccoli really?,pantry,1,"enter_agent_0,agent_2_enters,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_2_exits",false_belief,reality,False,reality,True,bucket,pantry,False,reality
Oliver entered the porch. Owen entered the porch. Abigail entered the porch. The broccoli is in the bucket. Abigail exited the porch. Owen exited the porch. Owen hates the peach. Oliver moved the broccoli to the pantry.,Where will Abigail look for the broccoli?,bucket,1,"enter_agent_0,agent_2_enters,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_2_exits",false_belief,first_order_1_tom,True,first_order,True,bucket,pantry,False,memory
Oliver entered the porch. Owen entered the porch. Abigail entered the porch. The broccoli is in the bucket. Abigail exited the porch. Owen exited the porch. Owen hates the peach. Oliver moved the broccoli to the pantry.,Where does Abigail think that Oliver searches for the broccoli?,pantry,1,"enter_agent_0,agent_2_enters,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_2_exits",false_belief,second_order_1_no_tom,False,second_order,True,bucket,pantry,True,reality
Logan loves the beans. Ethan entered the office. Jayden entered the pantry. Logan entered the pantry. The pineapple is in the drawer. Jayden moved the pineapple to the bathtub. Logan exited the pantry. Ethan dislikes the tangerine. Jayden exited the pantry. Logan entered the pantry.,Where was the pineapple at the beginning?,drawer,1,"agent_2_enters,enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_0_exits,agent_1_reenters_loc",second_order_false_belief,memory,False,memory,False,drawer,bathtub,False,memory
Logan loves the beans. Ethan entered the office. Jayden entered the pantry. Logan entered the pantry. The pineapple is in the drawer. Jayden moved the pineapple to the bathtub. Logan exited the pantry. Ethan dislikes the tangerine. Jayden exited the pantry. Logan entered the pantry.,Where will Jayden look for the pineapple?,bathtub,1,"agent_2_enters,enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_0_exits,agent_1_reenters_loc",second_order_false_belief,first_order_0_no_tom,False,first_order,False,drawer,bathtub,False,reality
Logan loves the beans. Ethan entered the office. Jayden entered the pantry. Logan entered the pantry. The pineapple is in the drawer. Jayden moved the pineapple to the bathtub. Logan exited the pantry. Ethan dislikes the tangerine. Jayden exited the pantry. Logan entered the pantry.,Where does Jayden think that Logan searches for the pineapple?,bathtub,1,"agent_2_enters,enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_0_exits,agent_1_reenters_loc",second_order_false_belief,second_order_0_no_tom,False,second_order,False,drawer,bathtub,False,reality
Logan loves the beans. Ethan entered the office. Jayden entered the pantry. Logan entered the pantry. The pineapple is in the drawer. Jayden moved the pineapple to the bathtub. Logan exited the pantry. Ethan dislikes the tangerine. Jayden exited the pantry. Logan entered the pantry.,Where is the pineapple really?,bathtub,1,"agent_2_enters,enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_0_exits,agent_1_reenters_loc",second_order_false_belief,reality,False,reality,False,drawer,bathtub,False,reality
Logan loves the beans. Ethan entered the office. Jayden entered the pantry. Logan entered the pantry. The pineapple is in the drawer. Jayden moved the pineapple to the bathtub. Logan exited the pantry. Ethan dislikes the tangerine. Jayden exited the pantry. Logan entered the pantry.,Where will Logan look for the pineapple?,bathtub,1,"agent_2_enters,enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_0_exits,agent_1_reenters_loc",second_order_false_belief,first_order_1_no_tom,False,first_order,False,drawer,bathtub,False,reality
Logan loves the beans. Ethan entered the office. Jayden entered the pantry. Logan entered the pantry. The pineapple is in the drawer. Jayden moved the pineapple to the bathtub. Logan exited the pantry. Ethan dislikes the tangerine. Jayden exited the pantry. Logan entered the pantry.,Where does Logan think that Jayden searches for the pineapple?,bathtub,1,"agent_2_enters,enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_0_exits,agent_1_reenters_loc",second_order_false_belief,second_order_1_no_tom,False,second_order,False,drawer,bathtub,False,reality
